GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ebalance,com.c17.ebalance.ebalance.model.DAO,VenditaDAOImpl,29,195,8,12,9,66,8,7,0,5
ebalance,com.c17.ebalance.ebalance.model.DAO,ContrattoDAOImpl,41,482,16,28,13,150,16,15,0,9
ebalance,com.c17.ebalance.ebalance.model.DAO,BatteriaDAOImpl,127,275,30,24,33,93,22,11,0,6
ebalance,com.c17.ebalance.ebalance.model.DAO,ReportDAOImpl,23,171,8,12,7,61,8,7,0,5
ebalance,com.c17.ebalance.ebalance.model.DAO,ProduzioneDAOImpl,17,621,30,48,5,208,30,20,0,11
ebalance,com.c17.ebalance.ebalance.model.DAO,ConsumoDAOImpl,34,348,16,26,10,125,16,13,0,8
ebalance,com.c17.ebalance.ebalance.model.DAO,AmministratoreDAOImpl,53,491,27,33,18,162,27,13,0,10
ebalance,com.c17.ebalance.ebalance.model.DAO,ParametriIADAOImpl,45,481,21,33,10,156,21,14,0,8
ebalance,com.c17.ebalance.ebalance.model.DAO,MeteoDAOImpl,142,458,46,36,38,148,37,13,0,9
ebalance,com.c17.ebalance.ebalance.contratto.controller,ContrattoController,27,271,1,7,13,74,3,8,2,5
ebalance,com.c17.ebalance.ebalance.dati.service,SimulazioneServiceImpl,561,0,56,0,110,0,35,0,7,0
ebalance,com.c17.ebalance.ebalance.dati.service,MeteoServiceImpl,16,0,0,0,4,0,3,0,3,0
ebalance,com.c17.ebalance.ebalance.dati.service,BatteriaServiceImpl,15,8,0,0,4,2,3,1,3,1
ebalance,com.c17.ebalance.ebalance.dati.service,ProduzioneServiceImpl,52,8,4,0,10,2,6,1,4,1
ebalance,com.c17.ebalance.ebalance.dati.service,ConsumoServiceImpl,48,8,4,0,9,2,5,1,3,1
ebalance,com.c17.ebalance.ebalance.contratto.service,ContrattoServiceImpl,82,8,2,0,19,2,8,1,7,1
ebalance,com.c17.ebalance.ebalance.IA.controller,IAController,12,31,0,0,5,10,2,5,2,5
ebalance,com.c17.ebalance.ebalance.accesso.service,AccessoServiceImpl,6,8,0,0,1,2,1,1,1,1
ebalance,com.c17.ebalance.ebalance.dati.controller,DatiController,616,0,52,0,134,0,33,0,7,0
ebalance,com.c17.ebalance.ebalance.amministratore.controller,AmministratoreController,185,379,12,24,50,101,13,13,4,4
ebalance,com.c17.ebalance.ebalance.IA.service,IAServiceImpl,66,8,2,0,16,2,6,1,5,1
ebalance,com.c17.ebalance.ebalance.IA.service,IAServiceImpl.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
ebalance,com.c17.ebalance.ebalance.amministratore.service,VenditaServiceImpl,63,18,0,0,15,4,3,1,3,1
ebalance,com.c17.ebalance.ebalance.amministratore.service,ReportServiceImpl,1749,28,40,0,486,6,23,1,3,1
ebalance,com.c17.ebalance.ebalance.amministratore.service,AmministratoreServiceImpl,34,8,0,0,9,2,7,1,7,1
ebalance,com.c17.ebalance.ebalance.accesso.controller,LogoutController,0,17,0,0,0,7,0,3,0,3
ebalance,com.c17.ebalance.ebalance.accesso.controller,AccessoController,12,115,0,4,5,30,2,6,2,4
ebalance,com.c17.ebalance.ebalance.model.entity,ParametriIABean,43,55,1,1,13,21,5,11,4,11
ebalance,com.c17.ebalance.ebalance.model.entity,ContrattoBean,36,122,1,1,7,47,4,20,3,20
ebalance,com.c17.ebalance.ebalance.model.entity,CondizioneMeteoBean,53,0,2,0,19,0,10,0,9,0
ebalance,com.c17.ebalance.ebalance.model.entity,TipoSorgenteBean,28,25,1,1,10,9,5,5,4,5
ebalance,com.c17.ebalance.ebalance.model.entity,ReportBean,53,45,1,1,17,17,7,9,6,9
ebalance,com.c17.ebalance.ebalance.model.entity,ProduzioneAttualeBean,18,25,1,1,6,8,3,5,2,5
ebalance,com.c17.ebalance.ebalance.model.entity,MeteoBean,53,75,1,1,15,29,5,15,4,15
ebalance,com.c17.ebalance.ebalance.model.entity,ConsumoAttualeBean,18,25,1,1,6,8,3,5,2,5
ebalance,com.c17.ebalance.ebalance.model.entity,ArchivioProduzioneBean,53,45,1,1,17,17,7,9,6,9
ebalance,com.c17.ebalance.ebalance.model.entity,PercentualeBatteriaBean,18,25,1,1,6,8,3,5,2,5
ebalance,com.c17.ebalance.ebalance.model.entity,InteragisceBean,48,65,1,1,14,24,5,13,4,13
ebalance,com.c17.ebalance.ebalance.model.entity,VenditaBean,48,65,1,1,14,25,5,13,4,13
ebalance,com.c17.ebalance.ebalance.model.entity,BatteriaBean,43,55,1,1,13,21,5,11,4,11
ebalance,com.c17.ebalance.ebalance.model.entity,AmministratoreBean,58,85,1,1,16,33,5,17,4,17
ebalance,com.c17.ebalance.ebalance.model.entity,ArchivioConsumoBean,63,35,1,1,21,13,9,7,8,7
ebalance,com.c17.ebalance.ebalance.model.entity,ConsumoEdificioBean,38,45,1,1,12,17,5,9,4,9
ebalance,com.c17.ebalance.ebalance.model.entity,SorgenteBean,53,75,1,1,15,29,5,15,4,15
